name,handedness,height,weight,avg,HR,count
Tom Brown,Right Handed,73,170,0,0,1
Denny Lemaster,Right Handed,73,182,0.13,4,1
Joe Nolan,Left Handed,71,175,0.263,27,1
Denny Doyle,Left Handed,69,175,0.25,16,1
Jose Cardenal,Right Handed,70,150,0.275,138,1
Mike Ryan,Right Handed,74,205,0.193,28,1
Fritz Peterson,Switch Hitter,72,185,0.159,2,1
Dick Bertell,Right Handed,72,200,0.25,10,1
Rod Kanehl,Right Handed,73,180,0.241,6,1
Ozzie Osborn,Right Handed,74,195,0,0,1
John LaRose,Left Handed,73,185,0,0,1
Jeff Byrd,Right Handed,75,195,0,0,1
Juan Bonilla,Right Handed,69,170,0.256,7,1
Frank Tepedino,Left Handed,71,185,0.241,6,1
Jerry Kutzler,Left Handed,73,175,0,0,1
Rick Wise,Right Handed,73,180,0.195,15,1
Darrell Evans,Left Handed,74,200,0.248,414,1
Buck Martinez,Right Handed,70,190,0.225,58,1
John Wockenfuss,Right Handed,72,190,0.262,86,1
Tommy McCraw,Left Handed,72,183,0.246,75,1
Jeff Barkley,Switch Hitter,75,185,0,0,1
Eric Wilkins,Right Handed,73,190,0,0,1
Britt Burns,Left Handed,77,215,0,0,1
Lee Lacy,Right Handed,73,175,0.286,91,1
Pete Rose,Switch Hitter,71,192,0.303,160,1
Danny Walton,Right Handed,72,195,0.223,28,1
Bobby Cox,Right Handed,71,180,0.225,9,1
Brad Wellman,Right Handed,72,170,0.231,6,1
Jeff Newman,Right Handed,74,215,0.224,63,1
Pedro Gonzalez,Right Handed,72,176,0.244,8,1
Nardi Contreras,Switch Hitter,74,193,0,0,1
Tommie Reynolds,Right Handed,74,190,0.226,12,1
Gene Clines,Right Handed,69,170,0.277,5,1
Jim Hickman,Right Handed,75,192,0.252,159,1
Jack Billingham,Right Handed,76,195,0.111,0,1
Jerry Buchek,Right Handed,71,185,0.22,22,1
Ivan DeJesus,Right Handed,71,175,0.254,21,1
Gary Nolan,Right Handed,74,197,0.138,1,1
Gil Patterson,Right Handed,73,185,0,0,1
Fred Whitfield,Left Handed,73,190,0.253,108,1
Larry Dierker,Right Handed,76,215,0.136,4,1
Dave Skaggs,Right Handed,74,200,0.241,3,1
Dick Ruthven,Right Handed,75,190,0.183,1,1
Jerry Garvin,Left Handed,75,195,0,0,1
Steve Eddy,Right Handed,74,185,0,0,1
Dave Kingman,Right Handed,78,210,0.236,442,1
Eric Soderholm,Right Handed,71,187,0.264,102,1
Kevin Mmahat,Left Handed,77,220,0,0,1
Ed Brinkman,Right Handed,72,170,0.224,60,1
Wayne Garrett,Left Handed,71,175,0.239,61,1
Tony Muser,Left Handed,74,180,0.259,7,1
Jim Siwy,Right Handed,76,200,0,0,1
Bud Anderson,Right Handed,75,210,0,0,1
Ted Ford,Right Handed,70,180,0.219,17,1
Kevin Stanfield,Left Handed,72,190,0,0,1
Jim Lyttle,Left Handed,72,180,0.248,9,1
John Butcher,Right Handed,76,185,0,0,1
Jerry Ujdur,Right Handed,73,195,0,0,1
Scot Thompson,Left Handed,75,195,0.262,5,1
Gene Locklear,Left Handed,70,165,0.274,9,1
Bo Diaz,Right Handed,71,185,0.255,87,1
Bump Wills,Switch Hitter,69,172,0.266,36,1
Brian Denman,Right Handed,76,205,0,0,1
Pat Putnam,Left Handed,72,205,0.255,63,1
Kurt Bevacqua,Right Handed,72,180,0.236,27,1
Bob Fallon,Left Handed,75,200,0,0,1
Syd O'Brien,Right Handed,73,185,0.23,24,1
Chris Chambliss,Left Handed,73,195,0.279,185,1
Tom Satriano,Left Handed,73,185,0.225,21,1
Jeffrey Leonard,Right Handed,74,200,0.266,144,1
Dal Maxvill,Right Handed,71,157,0.217,6,1
Steve Curry,Right Handed,78,217,0,0,1
Cesar Tovar,Right Handed,69,155,0.278,46,1
Mickey Lolich,Switch Hitter,73,170,0.11,0,1
Ray Chadwick,Switch Hitter,74,180,0,0,1
Jack Heidemann,Right Handed,72,175,0.211,9,1
Rich Rollins,Right Handed,70,185,0.269,77,1
Walt Bond,Left Handed,79,228,0.256,41,1
Merv Rettenmund,Right Handed,70,190,0.271,66,1
Bryan Clutterbuck,Right Handed,76,223,0,0,1
Byron Browne,Right Handed,74,190,0.236,30,1
Hector Torres,Right Handed,72,175,0.216,18,1
Walt Williams,Right Handed,66,165,0.27,33,1
Jerry Koosman,Right Handed,74,205,0.119,2,1
Steve Lombardozzi,Right Handed,72,175,0.233,20,1
Joe Azcue,Right Handed,72,190,0.252,50,1
Elliott Maddox,Right Handed,71,180,0.261,18,1
Omar Moreno,Left Handed,74,180,0.252,37,1
Julian Javier,Right Handed,73,175,0.257,78,1
Tony Ferreira,Left Handed,73,160,0,0,1
Elio Chacon,Right Handed,69,160,0.232,4,1
Rusty Torres,Switch Hitter,70,175,0.212,35,1
John Stearns,Right Handed,72,185,0.26,46,1
Larry Brown,Right Handed,70,160,0.233,47,1
Tommy Dean,Right Handed,72,165,0.18,4,1
Bryan Oelkers,Left Handed,75,192,0,0,1
Kevin Bearse,Left Handed,74,195,0,0,1
Marty Martinez,Switch Hitter,72,170,0.243,0,1
