handedness,avg
Right Handed,0
Right Handed,0.13
Left Handed,0.263
Left Handed,0.25
Right Handed,0.275
Right Handed,0.193
Switch Hitter,0.159
Right Handed,0.25
Right Handed,0.241
Right Handed,0
Left Handed,0
Right Handed,0
Right Handed,0.256
Left Handed,0.241
Left Handed,0
Right Handed,0.195
Left Handed,0.248
Right Handed,0.225
Right Handed,0.262
Left Handed,0.246
Switch Hitter,0
Right Handed,0
Left Handed,0
Right Handed,0.286
Switch Hitter,0.303
Right Handed,0.223
Right Handed,0.225
Right Handed,0.231
Right Handed,0.224
Right Handed,0.244
Switch Hitter,0
Right Handed,0.226
Right Handed,0.277
Right Handed,0.252
Right Handed,0.111
Right Handed,0.22
Right Handed,0.254
Right Handed,0.138
Right Handed,0
Left Handed,0.253
Right Handed,0.136
Right Handed,0.241
Right Handed,0.183
Left Handed,0
Right Handed,0
Right Handed,0.236
Right Handed,0.264
Left Handed,0
Right Handed,0.224
Left Handed,0.239
Left Handed,0.259
Right Handed,0
Right Handed,0
Right Handed,0.219
Left Handed,0
Left Handed,0.248
Right Handed,0
Right Handed,0
Left Handed,0.262
Left Handed,0.274
Right Handed,0.255
Switch Hitter,0.266
Right Handed,0
Left Handed,0.255
Right Handed,0.236
Left Handed,0
Right Handed,0.23
Left Handed,0.279
Left Handed,0.225
Right Handed,0.266
Right Handed,0.217
Right Handed,0
Right Handed,0.278
Switch Hitter,0.11
Switch Hitter,0
Right Handed,0.211
Right Handed,0.269
Left Handed,0.256
Right Handed,0.271
Right Handed,0
Right Handed,0.236
Right Handed,0.216
Right Handed,0.27
Right Handed,0.119
Right Handed,0.233
Right Handed,0.252
Right Handed,0.261
Left Handed,0.252
Right Handed,0.257
Left Handed,0
Right Handed,0.232
Switch Hitter,0.212
Right Handed,0.26
Right Handed,0.233
Right Handed,0.18
Left Handed,0
Left Handed,0
Switch Hitter,0.243
Left Handed,0.263
Switch Hitter,0.282
Right Handed,0.255
Left Handed,0.235
Right Handed,0
Right Handed,0.246
Left Handed,0.249
Right Handed,0
Right Handed,0
Right Handed,0
Right Handed,0.251
Switch Hitter,0.249
Right Handed,0.175
Right Handed,0
Left Handed,0.283
Switch Hitter,0.21
Left Handed,0.293
Right Handed,0
Switch Hitter,0.216
Right Handed,0
Right Handed,0.229
Switch Hitter,0.272
Right Handed,0.238
Right Handed,0.251
Left Handed,0.227
Right Handed,0.207
Left Handed,0.248
Right Handed,0.248
Switch Hitter,0
Right Handed,0.216
Right Handed,0
Right Handed,0.248
Switch Hitter,0.242
Switch Hitter,0.24
Left Handed,0.268
Right Handed,0
Right Handed,0.242
Left Handed,0
Left Handed,0.277
Right Handed,0
Left Handed,0.223
Left Handed,0.255
Switch Hitter,0.229
Right Handed,0
Right Handed,0
