handedness,HR
Right Handed,0
Right Handed,4
Left Handed,27
Left Handed,16
Right Handed,138
Right Handed,28
Switch Hitter,2
Right Handed,10
Right Handed,6
Right Handed,0
Left Handed,0
Right Handed,0
Right Handed,7
Left Handed,6
Left Handed,0
Right Handed,15
Left Handed,414
Right Handed,58
Right Handed,86
Left Handed,75
Switch Hitter,0
Right Handed,0
Left Handed,0
Right Handed,91
Switch Hitter,160
Right Handed,28
Right Handed,9
Right Handed,6
Right Handed,63
Right Handed,8
Switch Hitter,0
Right Handed,12
Right Handed,5
Right Handed,159
Right Handed,0
Right Handed,22
Right Handed,21
Right Handed,1
Right Handed,0
Left Handed,108
Right Handed,4
Right Handed,3
Right Handed,1
Left Handed,0
Right Handed,0
Right Handed,442
Right Handed,102
Left Handed,0
Right Handed,60
Left Handed,61
Left Handed,7
Right Handed,0
Right Handed,0
Right Handed,17
Left Handed,0
Left Handed,9
Right Handed,0
Right Handed,0
Left Handed,5
Left Handed,9
Right Handed,87
Switch Hitter,36
Right Handed,0
Left Handed,63
Right Handed,27
Left Handed,0
Right Handed,24
Left Handed,185
Left Handed,21
Right Handed,144
Right Handed,6
Right Handed,0
Right Handed,46
Switch Hitter,0
Switch Hitter,0
Right Handed,9
Right Handed,77
Left Handed,41
Right Handed,66
Right Handed,0
Right Handed,30
Right Handed,18
Right Handed,33
Right Handed,2
Right Handed,20
Right Handed,50
Right Handed,18
Left Handed,37
Right Handed,78
Left Handed,0
Right Handed,4
Switch Hitter,35
Right Handed,46
Right Handed,47
Right Handed,4
Left Handed,0
Left Handed,0
Switch Hitter,0
Left Handed,10
Switch Hitter,246
Right Handed,160
Left Handed,7
Right Handed,0
Right Handed,71
Left Handed,61
Right Handed,0
Right Handed,0
Right Handed,0
Right Handed,78
Switch Hitter,17
Right Handed,15
Right Handed,0
Left Handed,67
Switch Hitter,5
Left Handed,149
Right Handed,0
Switch Hitter,4
Right Handed,0
Right Handed,16
Switch Hitter,32
Right Handed,39
Right Handed,210
Left Handed,22
Right Handed,15
Left Handed,31
Right Handed,156
Switch Hitter,0
Right Handed,20
Right Handed,0
Right Handed,16
Switch Hitter,3
Switch Hitter,2
Left Handed,86
Right Handed,0
Right Handed,18
Left Handed,0
Left Handed,11
Right Handed,0
Left Handed,65
Left Handed,9
Switch Hitter,21
Right Handed,0
Right Handed,0
Left Handed,0
Right Handed,38
Right Handed,0
Left Handed,7
Left Handed,0
Right Handed,8
Left Handed,30
Left Handed,30
Left Handed,42
Right Handed,18
Right Handed,2
Left Handed,220
Right Handed,91
