handedness,HR
Left Handed,27
Left Handed,16
Left Handed,0
Left Handed,6
Left Handed,0
Left Handed,414
Left Handed,75
Left Handed,0
Left Handed,108
Left Handed,0
Left Handed,0
Left Handed,61
Left Handed,7
Left Handed,0
Left Handed,9
Left Handed,5
Left Handed,9
Left Handed,63
Left Handed,0
Left Handed,185
Left Handed,21
Left Handed,41
Left Handed,37
Left Handed,0
Left Handed,0
Left Handed,0
Left Handed,10
Left Handed,7
Left Handed,61
Left Handed,67
Left Handed,149
Left Handed,22
Left Handed,31
Left Handed,86
Left Handed,0
Left Handed,11
Left Handed,65
Left Handed,9
Left Handed,0
Left Handed,7
Left Handed,0
Left Handed,30
Left Handed,30
Left Handed,42
Left Handed,220
Left Handed,14
Left Handed,0
Left Handed,11
Left Handed,102
Left Handed,0
Left Handed,54
Left Handed,25
Left Handed,12
Left Handed,118
Left Handed,20
Left Handed,130
Left Handed,0
Left Handed,103
Left Handed,0
Left Handed,24
Left Handed,26
Left Handed,0
Left Handed,121
Left Handed,0
Left Handed,42
Left Handed,14
Left Handed,5
Left Handed,7
Left Handed,12
Left Handed,46
Left Handed,147
Left Handed,12
Left Handed,0
Left Handed,36
Left Handed,165
Left Handed,3
Left Handed,0
Left Handed,0
Left Handed,24
Left Handed,92
Left Handed,56
Left Handed,0
Left Handed,51
Left Handed,41
Left Handed,33
Left Handed,306
Left Handed,390
Left Handed,0
Left Handed,118
Left Handed,241
Left Handed,9
Left Handed,50
Left Handed,30
Left Handed,0
Left Handed,197
Left Handed,22
Left Handed,19
Left Handed,6
Left Handed,292
Left Handed,7
Left Handed,200
Left Handed,27
Left Handed,0
Left Handed,42
Left Handed,219
Left Handed,0
Left Handed,77
Left Handed,16
Left Handed,29
Left Handed,9
Left Handed,7
Left Handed,73
Left Handed,164
Left Handed,4
Left Handed,0
Left Handed,255
Left Handed,12
Left Handed,98
Left Handed,100
Left Handed,91
Left Handed,1
Left Handed,13
Left Handed,6
Left Handed,61
Left Handed,153
Left Handed,14
Left Handed,0
Left Handed,452
Left Handed,84
Left Handed,91
Left Handed,17
Left Handed,3
Left Handed,100
Left Handed,96
Left Handed,36
Left Handed,116
Left Handed,40
Left Handed,63
Left Handed,80
Left Handed,0
Left Handed,14
Left Handed,53
Left Handed,0
Left Handed,39
Left Handed,0
Left Handed,131
Left Handed,52
Left Handed,174
Left Handed,0
Left Handed,188
Left Handed,0
Left Handed,12
Left Handed,146
Left Handed,27
Left Handed,31
Left Handed,77
Left Handed,41
Left Handed,32
Left Handed,0
Left Handed,8
Left Handed,200
Left Handed,30
Left Handed,40
Left Handed,16
Left Handed,82
Left Handed,139
Left Handed,20
Left Handed,162
Left Handed,123
Left Handed,14
Left Handed,203
Left Handed,26
Left Handed,35
Left Handed,18
Left Handed,0
Left Handed,13
Left Handed,86
Left Handed,0
Left Handed,2
Left Handed,235
Left Handed,1
Left Handed,21
Left Handed,14
Left Handed,113
Left Handed,0
Left Handed,0
Left Handed,563
Left Handed,7
Left Handed,0
Left Handed,12
Left Handed,72
Left Handed,34
Left Handed,268
Left Handed,106
Left Handed,12
Left Handed,12
Left Handed,52
Left Handed,6
Left Handed,20
Left Handed,121
Left Handed,1
Left Handed,112
Left Handed,133
Left Handed,17
Left Handed,0
Left Handed,86
Left Handed,19
Left Handed,0
Left Handed,0
Left Handed,0
Left Handed,19
Left Handed,15
Left Handed,5
Left Handed,30
Left Handed,31
Left Handed,7
Left Handed,8
Left Handed,90
Left Handed,99
Left Handed,0
Left Handed,27
Left Handed,6
Left Handed,36
Left Handed,252
Left Handed,0
Left Handed,0
Left Handed,130
Left Handed,80
Left Handed,8
Left Handed,0
Left Handed,2
Left Handed,76
Left Handed,45
Left Handed,7
Left Handed,123
Left Handed,0
Left Handed,9
Left Handed,96
Left Handed,110
Left Handed,34
Left Handed,8
Left Handed,23
Left Handed,80
Left Handed,339
Left Handed,0
Left Handed,153
Left Handed,24
Left Handed,33
Left Handed,0
Left Handed,0
Left Handed,219
Left Handed,5
Left Handed,24
Left Handed,0
Left Handed,24
Left Handed,0
Left Handed,2
Left Handed,147
Left Handed,16
Left Handed,75
Left Handed,8
Left Handed,37
Left Handed,81
Left Handed,0
Left Handed,0
Left Handed,55
Left Handed,90
Left Handed,5
Left Handed,33
Left Handed,475
Left Handed,13
Left Handed,87
Left Handed,52
Left Handed,139
Left Handed,6
Left Handed,54
Left Handed,134
Left Handed,14
Left Handed,18
Left Handed,15
Left Handed,31
Left Handed,182
Left Handed,7
Left Handed,0
Left Handed,4
Left Handed,2
Left Handed,85
Left Handed,62
Left Handed,68
Left Handed,21
Left Handed,32
Left Handed,18
Left Handed,166
Left Handed,12
Left Handed,130
Left Handed,208
Left Handed,95
Left Handed,241
Left Handed,0
Left Handed,62
Left Handed,7
Left Handed,0
Left Handed,13
Left Handed,26
Left Handed,30
Left Handed,9
Left Handed,25
Left Handed,20
Left Handed,0
Left Handed,0
Left Handed,10
Left Handed,12
Left Handed,28
Left Handed,7
Left Handed,0
Left Handed,13
