handedness,HR
Right Handed,0
Right Handed,4
Right Handed,138
Right Handed,28
Right Handed,10
Right Handed,6
Right Handed,0
Right Handed,0
Right Handed,7
Right Handed,15
Right Handed,58
Right Handed,86
Right Handed,0
Right Handed,91
Right Handed,28
Right Handed,9
Right Handed,6
Right Handed,63
Right Handed,8
Right Handed,12
Right Handed,5
Right Handed,159
Right Handed,0
Right Handed,22
Right Handed,21
Right Handed,1
Right Handed,0
Right Handed,4
Right Handed,3
Right Handed,1
Right Handed,0
Right Handed,442
Right Handed,102
Right Handed,60
Right Handed,0
Right Handed,0
Right Handed,17
Right Handed,0
Right Handed,0
Right Handed,87
Right Handed,0
Right Handed,27
Right Handed,24
Right Handed,144
Right Handed,6
Right Handed,0
Right Handed,46
Right Handed,9
Right Handed,77
Right Handed,66
Right Handed,0
Right Handed,30
Right Handed,18
Right Handed,33
Right Handed,2
Right Handed,20
Right Handed,50
Right Handed,18
Right Handed,78
Right Handed,4
Right Handed,46
Right Handed,47
Right Handed,4
Right Handed,160
Right Handed,0
Right Handed,71
Right Handed,0
Right Handed,0
Right Handed,0
Right Handed,78
Right Handed,15
Right Handed,0
Right Handed,0
Right Handed,0
Right Handed,16
Right Handed,39
Right Handed,210
Right Handed,15
Right Handed,156
Right Handed,20
Right Handed,0
Right Handed,16
Right Handed,0
Right Handed,18
Right Handed,0
Right Handed,0
Right Handed,0
Right Handed,38
Right Handed,0
Right Handed,8
Right Handed,18
Right Handed,2
Right Handed,91
Right Handed,54
Right Handed,6
Right Handed,0
Right Handed,121
Right Handed,44
Right Handed,98
Right Handed,342
Right Handed,170
Right Handed,34
Right Handed,0
Right Handed,31
Right Handed,1
Right Handed,49
Right Handed,58
Right Handed,101
Right Handed,7
Right Handed,4
Right Handed,38
Right Handed,2
Right Handed,9
Right Handed,1
Right Handed,21
Right Handed,40
Right Handed,0
Right Handed,0
Right Handed,12
Right Handed,40
Right Handed,121
Right Handed,122
Right Handed,40
Right Handed,0
Right Handed,379
Right Handed,23
Right Handed,191
Right Handed,49
Right Handed,0
Right Handed,0
Right Handed,0
Right Handed,65
Right Handed,0
Right Handed,30
Right Handed,0
Right Handed,14
Right Handed,0
Right Handed,2
Right Handed,50
Right Handed,0
Right Handed,0
Right Handed,65
Right Handed,12
Right Handed,173
Right Handed,43
Right Handed,113
Right Handed,9
Right Handed,17
Right Handed,12
Right Handed,348
Right Handed,22
Right Handed,24
Right Handed,26
Right Handed,0
Right Handed,0
Right Handed,1
Right Handed,0
Right Handed,124
Right Handed,42
Right Handed,25
